Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
im looking for an moderately restaurant and it should be in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
danish food in the south part of town;spanish;spanish;;;;;;;;;;;;spicy;;
im looking for a restaurant that serves european food;;;;;north;north;;;;;;;;;;
um want to find a moderately priced restaurant in the;indian;thai;;;;east;;;;;;;;spicy;;
im looking for a restaurant that serves world food;thai;thai;;thai;north;north;;;;;;;;;;
is there anything serving international food;;;;;;centre;;;cheap;cheap;;;;;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for vegetarian food on the east part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
looking for a restaurant in west part of town serving cantonese;korean;korean;;;;;;;;;;;;;;
can i have an;;cuban;;;;east;;;;cheap;;;;;;
hi im looking for a restaurant in the;korean;thai;;;north;north;;;;;;;;;;
im looking for an expensive restaurant that serves european;;;;;;north;;;;;;;;;;
uh yes i want to find a restaurant in the north part of town that serves;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
looking for something moderately priced on the north side of town;;thai;;;;;;;;;;;;spicy;;
yes hi im looking for a restaurant in the north;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town that;thai;thai;;thai;;;;;;;;;;spicy;;
i want chinese food;;;;;;west;;;;cheap;;;;children;;
cheap restaurant;cuban;cuban;;;;west;;;;;;;;;;
id like a restaurant in the north part of town that serves tur;thai;thai;;thai;;;;;;;;;;;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
south;;swiss;;;;;;;;;;;;spicy;;
restaurant in the north part of town that serves;thai;thai;;thai;;;;;;;;;;;;
south;;swiss;;;;;;;;;;;;spicy;;
im looking for a moderately priced rest;korean;korean;;;west;west;;west;;;;;;spicy;;
moderately priced in the west part of town;;thai;;;;;;;;;;;;spicy;;
looking for a cheap restaurant serving portuguese food;;;;;north;north;;;;;;;;;;
north part of town serving canapes food;;korean;;;;;;;;cheap;;;;;;
i want a restaurant in the north part of town that serves kosher;thai;thai;;thai;;;;;;;;;;;;
okay let me try this again;thai;thai;;;centre;west;;;;;;;;;;
im looking for a restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
can i have a cheap restaurant in the south part of town;cuban;cuban;;;;;;;;;;;;spicy;;
yea im looking for a restaurant that serves basque food;thai;thai;;thai;north;north;;;;;;;;;;
can i get a restaurant in the east part of town that serves italian food;;;;;;;;;;cheap;;;;;;
uh im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for restaurants in the east part of town;;thai;;;;;;;;;;;;;;
i want to find an expensive restaurant that serves hungarian food;thai;thai;;thai;;east;;;;;;;;;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
moderate restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
can i get a moderate restaurant in the south part of town;;cuban;;;;;;;;;;;;spicy;;
can i get;;cuban;;;;west;;;;cheap;;;;;;
cheap;thai;thai;;;;west;;;;;;;;;;
im looking for a cheap restaurant serving kosher food;thai;thai;;;north;north;;;;;;;;;;
i want to find a moderately priced restaurant and it should serve;indian;indian;;;south;west;;;;;;;;spicy;;
id like a austrian restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
can i find a restaurant in the south that is moderately priced;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
indonesian food;;indian;;indian;;;;;;;;;;;;
moderately priced restaurant halal food;;african;;;;east;;;;;;;;spicy;;
im looking for a restaurant in the north part of town that serves;thai;thai;;thai;;;;;;;;;;;;
looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
um im trying to find a restaurant in the unintelligible of town;indian;thai;;;;south;;;;;;;;;;
im looking for a moderately priced restaurant in the;korean;thai;;;north;north;;;;;;;;spicy;;
im looking for a restaurant that serves corsica food;thai;thai;;thai;north;north;;;;;;;;;;
i want a cheap restaurant in the east part of town;thai;thai;;;;;;;;;;;;;;
moderate price;;african;;;;;;;;;;;spicy;spicy;;spicy
um i want a restaurant in the north side of town and i want to eat christmas food;korean;thai;;;;;;;;moderate;;;;;;
im looking for a restaurant in the south part of town that serves;thai;thai;;thai;;;;;;;;;;spicy;;
cheap restaurant east of town;thai;thai;;;;;;;;;;;;;;
id like a restaurant in;;italian;;;;;;;;;;;;;;
im looking for a cheap restaurant;thai;thai;;;north;north;;;;;;;;;;
cheap restaurant north part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced restaurant japanese food;;;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the west part of town that serves;thai;thai;;thai;;;;;;;;;;;;
im looking for an expensive restaurant in the east;korean;thai;;;;;;;;;;;;;;
want to find a restaurant in the west part of town that serves german food;thai;thai;;thai;;;;;;;;;;;;
id like a restaurant in the south part of town that serves cuban;;;;;;;;;cheap;cheap;;;;spicy;;
id like a cheap restaurant that serves steakhouse;;;;;;east;;;;;;;;;;
im looking for a cheap;cuban;cuban;;;north;north;;;;;;;;;;
i want to find a moderately;indian;indian;;;;east;;;;;;;;;;
im looking for a cheap spanish restaurant;;;;;north;north;;;;;;;;spicy;;
okay looking for a cheap restaurant serving caribbean food;cuban;cuban;;;north;north;;;;;;;;;;
can i have an expensive restaurant;;cuban;;;;centre;;;;;;;;;;
south part of town;;swiss;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the north part of town;korean;thai;;;;;;;;;;;;spicy;;
can i have the venusian food;persian;cuban;;;;centre;;;;cheap;;;;;;
im looking for a restaurant in the west part of town that serves caribbean;thai;thai;;thai;;;;;;;;;;;;
cheap restaurant;cuban;cuban;;;;west;;;;;;;;;;
i would like to find a restaurant;indian;indian;;;south;south;;;;;;;;;;
cheap restaurant in he north part of town;cuban;cuban;;;;;;;;;;;;;;
im looking for an expensive restaurant that serves english food;thai;thai;;thai;;north;;;;;;;;;;
im looking for a spanish restaurant;;;;;north;north;;;;;;;;spicy;;
i would like a cheap restaurant and it should;cuban;thai;;;south;south;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
i need a restaurant in the east part of town;;thai;;;;;;;;;;;;;;
i want to find a moderately priced restaurant and it should be in the;indian;thai;;;south;east;;;;;;;;spicy;;
breath im looking for a moderately priced restaurant in the east p;french;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for world food;;korean;;;north;north;;;;;;;;;;
im looking for a restaurant in any area that serves austrian food;thai;thai;;thai;north;north;;;;;;;;;;
ah can i find a unintelligible restaurant serving scotch food;african;cuban;;;south;south;;;;cheap;;;;spicy;;
i need a moderately priced restaurant in the part of town;;thai;;;;east;;;;;;;;spicy;;
mexican food;african;african;;;;;;;;;;;;;;
i want to find a moderately priced restaurant that serves fusion food;;;;;;west;;;;;;;;spicy;;
ah yes can i get a restaurant that serves french food;;;;;;west;;;;cheap;;;;;;
i want an expensive restaurant serving european food;;;;;;west;;;;;;;;;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
cheap;thai;cuban;;;;east;;;;;;;;;;
looking for an expensive restaurant that serves;thai;thai;;thai;;north;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
spanish restaurant;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant serving russian food;thai;cuban;;;north;north;;;;;;;;;;
i need a special restaurant serving christmas food;;persian;;;;;;;;;;;;spicy;;
i want a basque food restaurant;;bistro;;;;west;;;;;;;;;;
hi im looking for moderately priced;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
can you tell me a restaurant in the south part of town;;cuban;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the east;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant;korean;korean;;;north;north;;;;;;;;;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the east part of town that serves belgium food;thai;thai;;thai;;;;;;;;;;;;
i need a restaurant in the east part of town that serves creative;thai;thai;;thai;;;;;;;;;;;;
can i find a expensive restaurant that serves welsh food;thai;thai;;thai;;;;;;;;;;;;
im looking for a restaurant that serves african food;;;;;north;north;;;;;;;;;;
i need an expensive restaurant that serves afghan food;thai;thai;;thai;;;;;;;;;;;;
need a restaurant serving brazilian food;;persian;;;;;;;;;;;;;;
im looking for an expensive restaurant that serves european food;;;;;;north;;;;;;;;;;
im looking for korean food in any price range;;;;;;north;;;;cheap;;;spicy;spicy;;spicy
cheap spanish restaurant;;;;;;west;;;;;;;;spicy;;
i would like malaysian food in the center part of;;thai;;;;;;;;;;;;;;
hello im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
i want a cheap hungarian food restaurant;thai;cuban;;;;east;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves canapes;thai;thai;;thai;north;north;;;;;;;;spicy;;
find a restaurant serving cannabis food;indian;indian;;;;;;;;;;;;;;
looking for a restaurant in the south part of town that serves persian;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that serves cuban food;;;;;north;north;;;;;;;;;;
im looking for a cheap restaurant;thai;cuban;;;north;north;;;;;;;;;;
mexican;african;african;;;;;;;;;;;;;;
ah yes can i get ah expensive restaurant in the south part of town;tuscan;cuban;;;;;;;;;;;;spicy;;
im looking for a welsh restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
cheap restaurant;thai;thai;;;;west;;;;;;;;;;
im looking for a barbecue restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
i need a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
in the east part of town that serves spanish food;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south of town;thai;thai;;;;;;;;;;;;spicy;;
korean food moderate price;;;;;;north;;;;;;;spicy;spicy;;spicy
what is there in the north;thai;thai;;;;;;;cheap;cheap;;;;;;
im looking for a cheap restaurant that serves belgian food;thai;thai;;thai;north;north;;;;;;;;;;
greek;;french;;;;west;;;;cheap;;;;;;
cheap restaurant in west part of town;cuban;cuban;;;;;;;;;;;;;;
expensive mexican;african;african;;;;;;;;;;;;;;
i need a cheap restaurant that serves international food;;;;;;west;;;;;;;;;;
im looking for a restaurant in the center that serves corsica;thai;thai;;thai;;;;;;;;;;;;
corsica food;;moroccan;;;;;;;;;;;;;;
i need a persian restaurant in the south part of town;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
hello im looking for a cheap;thai;cuban;;;north;north;;;;;;;;;;
i need a moderately priced restaurant serving world food;;african;;;north;north;;;;;;;;spicy;;
im looking for an expensive restaurant with venetian food;korean;korean;;;;north;;;;;;;;;;
looking for an expensive restaurant in the east of town;korean;thai;;;;;;;;;;;;;;
ah yes im looking for persian food and i dont care about the pri;;;;;south;west;;south;;cheap;;;;;;
moderately priced restaurant that serves fusion food;;;;;;;;;;;;;;spicy;;
id like a moderately priced restaurant in the east part of town;;thai;;;;;;;;;;;;spicy;;
i want an expensive irish restaurant;swiss;turkish;;;;west;;;;;;;;spicy;;
a restaurant in the north part of town;;thai;;;;;;;;;;;;;;
im looking for a moderate priced restaurant in the south part;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves japanese food;;;;;north;north;;;;;;;;spicy;;
id like a restaurant in any area;indian;indian;;;;;;;;;;;;;;
restaurant in the north part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
i want to find a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
restaurant south part of town;;swiss;;;;;;;;;;;;spicy;;
expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town that serves scottish;thai;thai;;thai;;;;;;;;;;;;
are there any restaurant serving corsica food;thai;thai;;;;centre;;;cheap;cheap;;;;;;
im looking for a cheap restaurant;cuban;cuban;;;north;north;;;;;;;;;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
moderately priced restaurant in the east;;thai;;;;;;;;;;;;spicy;;
cheap restaurant west part of town;cuban;cuban;;;;;;;;;;;;;;
im looking for a portuguese restaurant;;;;;north;north;;;;;;;;;;
looking for a moderately priced restaurant that serves cancun;thai;thai;;thai;north;north;;;;;;;;spicy;;
i need a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the east part of town;thai;thai;;;;;;;;;;;;;;
can i get turkish food;;;;;;west;;;;cheap;;;;;;
need one in the west part of town;;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the;cuban;thai;;;north;north;;;;;;;;;;
im looking for spanish food;;;;;;;;;;;;;;spicy;;
im looking for a restaurant in any area that;thai;thai;;thai;north;north;;;;;;;;;;
im looking for a moderately priced restaurant and it should be in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
i want a restaurant that serves basque food;thai;thai;;thai;;east;;;;;;;;;;
uh find a restaurant in the west part of town and;indian;thai;;;;;;;;;;;;;;
i want to find a restaurant in any area;indian;indian;;;;east;;;;;;;;;;
im looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
north;;korean;;;;;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
restaurant north part of town;;korean;;;;;;;;;;;;;;
uh korean food;;;;;;north;;;;cheap;;;;;;
im looking for a moderately priced restaurant that serves uh;thai;thai;;thai;north;north;;;;;;;;spicy;;
thank you;;;;;;east;;;;cheap;;;;;;
part of town;;;;;;east;;;;;;;;;;
im looking for a restaurant that serves british food;;;;;north;north;;;;;;;;;;
looking for a singaporean restaurant in the center;korean;thai;;;;;;;;;;;;;;
i am looking for a moderately priced restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
cheap restaurant;cuban;thai;;;;east;;;;;;;;;;
restaurant the serves english food;;thai;;;;;;;;;;;;;;
yes;;;;;;west;;;;;;;;;;
the;;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the west part;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town that serves danish food;thai;thai;;thai;;;;;;;;;;;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
i need a restaurant in the center of town;;thai;;;;;;;;;;;;;;
afghan;african;african;;;;;;;;;;;;;;
i want a cheap restaurant in the east part of town;thai;thai;;;;;;;;;;;;;;
find a restaurant in the west part of town;indian;thai;;;;;;;;;;;;;;
i would like a moderately priced restaurant;;african;;;south;south;;;;;;;;spicy;;
system;;bistro;;;;east;;;;;;;;;;
cheap restaurant serving scandinavian food;thai;cuban;;;;west;;;;;;;;;;
im looking for cheap food in the north of town;thai;thai;;;;;;;;;;;;;;
i want indonesian food;;indian;;indian;;east;;;;;;;;;;
im looking for something in the south part of town that serves creative;thai;thai;;thai;;;;;;;;;;spicy;;
restaurant south;;swiss;;;;;;;;;;;;spicy;;
can i have an expensive restaurant;;cuban;;;;centre;;;;;;;;;;
i would like to find a moderately priced;indian;indian;;;south;south;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves;thai;thai;;thai;north;north;;;;;;;;spicy;;
i am looking for persian food please;;;;;east;east;;east;;cheap;;;;;;
hi i am looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for moderate priced restaurant in the west;;thai;;;;;;;;;;;;spicy;;
id like a moderately priced restaurant that serves halal food;thai;thai;;thai;;east;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that sells welsh;thai;thai;;thai;;;;;;;;;;spicy;;
can i get an expensive;;cuban;;;;west;;;;;;;;;;
im looking for a restaurant in the north part of town and it should serve cata;korean;thai;;;;;;;;;;;;spicy;;
hi im looking for a restaurant;korean;thai;;;north;north;;;;;;;;;;
im looking for a restaurant that has unintelligible;thai;thai;;thai;north;east;;;;;;;;;;
for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
i need a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
yeah can i um;;cuban;;;;centre;;;;cheap;;;;;;
i want to find a cheap restaurant that serves;thai;thai;;thai;;east;;;;;;;;;;
i want to find a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the west part;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
south south;;swiss;;;;;;;;;;;;spicy;;
i would like an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
i want to find a moderately priced restaurant in the east part of town;indian;thai;;;;;;;;;;;;spicy;;
id like a barbecue restaurant;;italian;;;;;;;;;;;;;;
im looking for expensive spanish food;;;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the north part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant that serves;thai;thai;;thai;north;north;;;;;;;;;;
danish food;spanish;spanish;;;;east;;;;;;;;;;
i am looking fora restaurant that should serve;thai;thai;;thai;south;south;;;;;;;;spicy;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
in the center that serves unintelligible asian;thai;thai;;thai;;;;;;cheap;;;;spicy;;
im looking for a moderately priced restaurant in the north part of town;korean;thai;;;;;;;;;;;;spicy;;
mexican food;african;african;;;;;;;;;;;;;;
yea im looking for some spanish food;;;;;;east;;;;;;;;spicy;;
cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
looking for a restaurant in the center part of town;korean;thai;;;;;;;;;;;;;;
i need to find a moderately priced restaurant;indian;indian;;;;;;;;;;;;spicy;;
i need an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
i want a russian restaurant;tuscan;persian;;;;east;;;;;;;;;;
malaysian food in the south part of town;;thai;;;;;;;;;;;;spicy;;
looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
id like to find an expensive restaurant in the east side of town;indian;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
breath i want to find an expensive restaurant and it sh;indian;indian;;;;west;;;;;;;;;;
im looking for something serving vegetarian food;;persian;;;;;;;;;;;;;;
find moderately priced brazilian restaurant;;african;;;;;;;;;;;;spicy;;
chinese in the south part of town;;;;;;;;;;cheap;;;;children;;
system;;bistro;;;;east;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
i want to find an expensive restaurant on the east part of town;indian;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the north part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
south;;swiss;;;;;;;;;;;;spicy;;
an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
im looking for moderately priced restaurant in the north part;;thai;;;;;;;;;;;;spicy;;
cheap restaurant mediterranean food;;;;;;west;;;;;;;;;;
cuban food;;;;;;;;;cheap;cheap;;;;;;
spanish food west part of town;;;;;;;;;;;;;;spicy;;
can i have moderately priced restaurnt in the south part of town;;cuban;;;;;;;;;;;;spicy;;
may i have the cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
i want a restaurant in the south part of town that serves moroccan food;;;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the south part of;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant that serves german food;thai;thai;;thai;north;north;;;;;;;;;;
chinese food;;;;;;centre;;;;cheap;;;;children;;
restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
i would like to find a cheap restaurant in the west part of t;cuban;thai;;;;;;;;;;;;;;
im looking for a greek restaurant;korean;korean;;;north;north;;;;cheap;;;;;;
yes id like to find a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center serving;korean;thai;;;;;;;;;;;;;;
i would like to find a moderately priced restaurant in the east part of;indian;thai;;;;;;;;;;;;spicy;;
noise i want to find a restaurant that ser;thai;thai;;thai;north;west;;;;;;;;spicy;;
im looking for a cheap restaurant in east part of town;cuban;cuban;;;;;;;;;;;;;;
i am looking for a moderately priced restaurant and it should;korean;korean;;;south;south;;;;;;;;spicy;;
im looking for a restaurant in any area that serves;thai;thai;;thai;north;north;;;;;;;;;;
restaurant south part of town international food;;;;;;;;;;;;;;spicy;;
canope food;;chinese;;;centre;centre;;;;cheap;;;;;;
yes can i have an expensive restaurant;tuscan;cuban;;;;west;;;;;;;;;;
im looking for an expensive restaurant that serves;thai;thai;;thai;;north;;;;;;;;;;
cheap in the west part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
looking for a basque restaurant;korean;korean;;;north;north;;;;;;;;;;
east part of town serving swedish food;swiss;swiss;;swiss;;;;;;;;;;;;
im looking for a restaurant in the center of town that serves;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the north part of town and it should serve;korean;thai;;;;;;;;;;;;spicy;;
korean food;;;;;;north;;;;cheap;;;;;;
i would like a restaurant in the west part of town that serves cuban food;;;;;;;;;cheap;cheap;;;;;;
can you tell me about an expensive restaurant in the south;;cuban;;;;;;;;;;;;spicy;;
i would like traditional food in the south part of town;;;;;;;;;;;;;;spicy;;
i want to find a cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
expensive restaurant south part of town;;swiss;;;;;;;;;;;;spicy;;
cheap restaurant;thai;thai;;;;west;;;;;;;;;;
expensive restaurant serving kosher food;;persian;;;;;;;;;;;;;;
moderately priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
whats a cheap restaurant on the east part of town;thai;thai;;;;;;;;;;;;;;
hi im looking for a restaurant in the east art of town;korean;thai;;;;;;;;;;;;;;
noise im looking for a restaurant that serves scottish food;thai;thai;;thai;north;north;;;;;;;;spicy;;
uh im looking for a moderately priced restaurant serving;thai;thai;;;north;north;;;;;;;;spicy;;
looking for a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the north;korean;thai;;;;;;;;;;;;spicy;;
price range;;persian;;;;centre;;;;;;;spicy;spicy;;spicy
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
yes im looking for an expensive restaurant and it should serve;korean;korean;;;south;west;;;;;;;;spicy;;
i would like a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the north of;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant cheap restaurant serving romanian food;;;;;north;north;;;;;;;romantic;romantic;;
i want an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that serves international;;;;;north;north;;;;;;;;;;
im looking for cheap german food;thai;thai;;;;west;;;;;;;;;;
i want to find a moderately priced restaurant;indian;indian;;;;east;;;;;;;;spicy;;
im looking for a expensive restaurant in the;korean;thai;;;north;north;;;;;;;;;;
im looking for a restaurant in any area that serves swedish food;thai;thai;;thai;north;north;;;;;;;;;;
