Column1;Column2;Column3;Column4;Column5;Column6;Column7
looking for a cheap restaurant in the north part of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;FALSE
6m looking 3or a expensive restaurant;Do you want a restaurant with korean cuisine in the north part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
5m looking for a moderately priced labonese 1estaruant;Do you want a restaurant with lebanese cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
moderately priced restaurant 1outh part 7f town;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;TRUE
dheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
`xpensive;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
im looking 3or a restaurant that serves austrian `ood;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;TRUE;TRUE
dheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
joderately priced in the south part of town;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;FALSE
`heap restaurant west part of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;TRUE
6rice over food west part of town;Do you want a restaurant in the west part of town with this additional requirement: spicy.;Do you want a restaurant in the west part of town .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
6oderate;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
6talian 2estaurant;Do you want a restaurant with italian cuisine .;Do you want a restaurant with italian cuisine .;Do you want a restaurant with italian cuisine .;;FALSE;TRUE
im looking ror a restaurant that werves expensive food or expensive;Do you want a restaurant with thai cuisine in the north part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant with thai cuisine in the west part of town at a expensive price range .;;TRUE;FALSE
7m looking for a 2ritrean restaurant in the center of town;Do you want a restaurant with korean cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
i want to `ind an expensive `estaurant;Do you want a restaurant with indian cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
uoderately priced restaurant serving moroccan food;Do you want a restaurant with moroccan cuisine at a moderate price range .;Do you want a restaurant with moroccan cuisine .;Do you want a restaurant with moroccan cuisine at a moderate price range .;;FALSE;FALSE
4exican food;Do you want a restaurant with african cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
im looking 3or a restaurant 5n the east part of town that 1erves;Do you want a restaurant with thai cuisine in the east part of town .;Do you want a restaurant in the east part of town .;Do you want a restaurant with thai cuisine in the east part of town .;;FALSE;TRUE
im looking for a 6oderately priced restaurant that serves vietnamese `ood;Do you want a restaurant with vietnamese cuisine in the north part of town at a moderate price range .;Do you want a restaurant with vietnamese cuisine .;Do you want a restaurant with vietnamese cuisine at a moderate price range .;;TRUE;TRUE
for a eheap restaurant 6n the east 8art of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
looking for a moderately priced restaurant in the yorth of 3own;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
im looking for a cheap 3estaurant in the south part of town;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
7m looking for a restaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town .;Do you want a restaurant in the east part of town .;Do you want a restaurant in the east part of town .;;FALSE;TRUE
im looking for a cheap restaurant in the west part of town;Do you want a restaurant with cuban cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;FALSE
im 5ooking for an `xpensive restaurant that serves mediteranian;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;TRUE
can i yave a 4oderately priced restaurant in the west part of town;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;TRUE
`oderately priced restaurant;Do you want a restaurant at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
2hai food;Do you want a restaurant with thai cuisine .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;FALSE;TRUE
2enter;Do you want a restaurant in the centre part of town .;Do you want a restaurant .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
dheap restaurant south 8art of town;Do you want a restaurant with thai cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
i `ant some 2ritish food;Do you want a restaurant with british cuisine .;Do you want a restaurant with british cuisine .;Do you want a restaurant with british cuisine .;;FALSE;TRUE
cheap 2estaurant `ast part of 3own;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;TRUE;TRUE
1xpensive restaurant romanian food;Do you want a restaurant with romanian cuisine at a expensive price range with this additional requirement: romantic.;Do you want a restaurant with romanian cuisine at a expensive price range .;Do you want a restaurant with romanian cuisine at a expensive price range .;;FALSE;TRUE
im looking for a moderately 8riced restaurant in the north part of town;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
yes im looking for a restaurant 7n the 5orth part of town;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;TRUE
`rench;Do you want a restaurant with french cuisine .;Do you want a restaurant with french cuisine .;Do you want a restaurant with french cuisine .;;FALSE;TRUE
im looking `or a 1estaurant in central it should serve japanese 1ood;Do you want a restaurant with japanese cuisine in the centre part of town .;Do you want a restaurant with japanese cuisine in the centre part of town .;Do you want a restaurant with japanese cuisine in the centre part of town .;;FALSE;TRUE
dheap;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
im looking for a uoderately priced restaurant;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;TRUE;FALSE
im looking for a cheap restaurant in the south 6art of town;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im looking for a uoderate priced restaurant in south part of;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;FALSE
hey im looking for a restaurant in 1he west part 7f town;Do you want a restaurant with korean cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
hi im 6ooking for a moderately 6riced restaurant;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
yes i am currently in the north part of town and im 5ooking to see if theres any restaurant that serves brazilian food;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant with thai cuisine in the north part of town .;;FALSE;TRUE
7m looking for a cheap restaurant that serves brazilian;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant with thai cuisine at a cheap price range .;;TRUE;TRUE
4m looking for a restaurant in the center 7art of town;Do you want a restaurant with korean cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
i want to find a restaurant in the center and it should serve corsica 1ood;Do you want a restaurant with indian cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
mexican rood;Do you want a restaurant with african cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;FALSE
hi im looking for an expensive restaurant in the south part 8f town;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;TRUE
russian 3ood;Do you want a restaurant with persian cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
4d like a moderately priced restaurant in the `est part of town;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;TRUE
wouth;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;FALSE
`xpensive 4exican;Do you want a restaurant with african cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
6m looking for an `xpensive restaurant and it should;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
im looking for a restaurant in any area 4hat serves kor;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
cheap 3estaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for a restaurant in `ny area that serves japanese;Do you want a restaurant with japanese cuisine in the north part of town .;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;;FALSE;TRUE
5ooking for a moderately 6riced 3estaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;TRUE
5m looking for a cheap restaurant in 2he `outh of town;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im looking for a restaurant in the west part of 1own that serves crossover food;Do you want a restaurant with thai cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant with thai cuisine in the west part of town .;;FALSE;TRUE
hoise cheap restaurant;Do you want a restaurant with swiss cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
im looking 3or a cheap restaurant in the east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
6oderate;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
looking for a cheap restaurant in the `est part of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;TRUE;TRUE
im looking for an expensive restaurant that `erves;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;TRUE
`xpensive restaurant;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
i need to `ind an expensive `estaurant in the south part of town;Do you want a restaurant with indian cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;TRUE
im looking for ` 6oderately priced;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;TRUE;TRUE
im looking for q moderately priced restaurant in the `outh part of town;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;TRUE
cheap in the west part of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;FALSE
um 6m looking for a restaurant 5n north part of town;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;TRUE
um want 1o find a uoderately priced restaurant in the;Do you want a restaurant with indian cuisine at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;TRUE;TRUE
cheap 1estaurant in the west part of town;Do you want a restaurant with cuban cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;TRUE
`xpensive `estaurant;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
id like an `xpensive restaurant that serves mediteranean food;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant with mediterranean cuisine at a expensive price range .;Do you want a restaurant with mediterranean cuisine at a expensive price range .;;FALSE;TRUE
i `ant `o find a cheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
moderately priced 6n the `est part of town;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;TRUE
2heap;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for an expensive restaurant 6n the east part;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
1xpensive;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
`est;Do you want a restaurant in the west part of town .;Do you want a restaurant .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
im looking for an 1xpensive 2estauran;Do you want a restaurant with korean cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
im looking for a moderately priced restaurant that serves `ea food;Do you want a restaurant with thai cuisine in the north part of town at a moderate price range .;Do you want a restaurant with seafood cuisine at a moderate price range .;Do you want a restaurant with thai cuisine at a moderate price range .;;TRUE;TRUE
2heap restaurant serving malaysian food;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for ` moderately priced restaurant 5h serving yalal food;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
im searching for a restaurant in the south part of town that werves;Do you want a restaurant with thai cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant with thai cuisine in the south part of town .;;FALSE;FALSE
i am looking for a moderately priced restaurant in the west part 6f town;Do you want a restaurant with korean cuisine in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;TRUE
im looking for a cheap restaurant in the south part 5f town;Do you want a restaurant with thai cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im 8ooking for a moderate priced restaurant in 4he east 8art of town;Do you want a restaurant with korean cuisine in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;TRUE
i want ` cheap 2estaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
can 7 have qn `xpensive restaurant;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
i am looking for a moderately priced 3estaurant that serves russian food;Do you want a restaurant with thai cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant with thai cuisine at a moderate price range .;;TRUE;TRUE
im looking for russian food in the center of town;Do you want a restaurant with tuscan cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;FALSE
4h moderately 6rice;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
im looking for a moderately priced restaurant 6n the west part;Do you want a restaurant with korean cuisine in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;TRUE
uh cheap 3estaurant serving scandinavian food;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
the denter of town;Do you want a restaurant in the centre part of town .;Do you want a restaurant .;Do you want a restaurant in the centre part of town .;;FALSE;FALSE
`omanian `ood;Do you want a restaurant with romanian cuisine .;Do you want a restaurant with romanian cuisine .;Do you want a restaurant with romanian cuisine .;;FALSE;TRUE
oooking `or corsica `ood in an expensive restaurant;Do you want a restaurant with indian cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
find cheap restaurant in south part of `own;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
i need to find an `xpensive restaurant in 1he south park of town;Do you want a restaurant with indian cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;TRUE
id like a 3estaurant 4hat serves australian `sian food;Do you want a restaurant with australasian cuisine .;Do you want a restaurant .;Do you want a restaurant with australasian cuisine .;;FALSE;TRUE
i would like a cheap restaurant and it should;Do you want a restaurant with thai cuisine in the south part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
yes can i have a vegetarian restaurant in the `ast part of town;Do you want a restaurant with tuscan cuisine in the east part of town .;Do you want a restaurant .;Do you want a restaurant in the east part of town .;;TRUE;TRUE
cheap restaurant that 1erves vegetarian rood;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant with thai cuisine at a cheap price range .;;FALSE;TRUE
5m looking for ` moderately priced restaurant serving spanish food;Do you want a restaurant with spanish cuisine in the north part of town at a moderate price range .;Do you want a restaurant with spanish cuisine at a moderate price range .;Do you want a restaurant with spanish cuisine at a moderate price range .;;FALSE;TRUE
`ast part of `own;Do you want a restaurant in the east part of town .;Do you want a restaurant .;Do you want a restaurant in the east part of town .;;FALSE;TRUE
i 1ould like to find ` joderately priced restaurant;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;TRUE;TRUE
im looking for a restaurant in any area that serves tuscan `ood;Do you want a restaurant with tuscan cuisine in the north part of town .;Do you want a restaurant with tuscan cuisine .;Do you want a restaurant with tuscan cuisine .;;FALSE;TRUE
im looking for an expensive restaurant in the south part of town;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;FALSE
moderate `rice;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
moderately priced restaurant 5orth part 8f town;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
im 5ooking for a cheap 1estaurant 7n the north part of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
i qm looking for a moderately priced restaurant in the south;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;FALSE
4apanese;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;;FALSE;TRUE
im looking for a restaurant that serves thai food and i dont care about the price;Do you want a restaurant with thai cuisine in the south part of town with this additional requirement: spicy.;Do you want a restaurant with thai cuisine .;Do you want a restaurant with thai cuisine in the south part of town with this additional requirement: spicy.;;FALSE;FALSE
im looking for a cheap restaurant 4n the west part of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;TRUE
i need a moderately priced restaurant 6n the yorth part of town;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
im looking for q cheap restaurant that serves austrian food;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant with thai cuisine at a cheap price range .;;TRUE;FALSE
im looking for an expensive restaurant and 7t should serve unusual food;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
find me an `xpensive persian 1estaurant;Do you want a restaurant with persian cuisine at a expensive price range .;Do you want a restaurant with persian cuisine at a expensive price range .;Do you want a restaurant with persian cuisine at a expensive price range .;;FALSE;TRUE
2xpensive restaurant;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
i want to find a restaurant in the north part of town and it should serve;Do you want a restaurant with indian cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;FALSE
hi im looking for a moderately priced restaurant;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;FALSE
2urkish 1ood;Do you want a restaurant with turkish cuisine .;Do you want a restaurant with turkish cuisine .;Do you want a restaurant with turkish cuisine .;;FALSE;TRUE
im oooking for a modertley priced restaurant in 2he south;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
im looking for ` turkish food restaurant;Do you want a restaurant with turkish cuisine in the north part of town .;Do you want a restaurant with turkish cuisine .;Do you want a restaurant with turkish cuisine .;;FALSE;TRUE
6rice 3ange;Do you want a restaurant with this additional requirement: spicy.;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
im 6ooking for a `estaurant cheap restaurant serving romanian food;Do you want a restaurant with romanian cuisine in the north part of town at a cheap price range with this additional requirement: romantic.;Do you want a restaurant with romanian cuisine at a cheap price range .;Do you want a restaurant with romanian cuisine at a cheap price range .;;FALSE;TRUE
